"community","freshman_enrollment_sy2020_2021","hs_graduation_spr2020","college_enrollment_fall2020","college_persistence_spr_2020","college_completion_spr2020","postsec_attainment_index"
"ALBANY PARK",596,86,59,68,55,31
"ARCHER HEIGHTS",222,82,63,68,52,32
"ARMOUR SQUARE",132,90,69,89,83,60
"ASHBURN",556,89,62,62,44,26
"AUBURN GRESHAM",515,82,51,53,37,20
"AUSTIN",1090,79,53,51,31,17
"AVALON PARK",80,87,52,67,32,20
"AVONDALE",399,86,63,65,47,30
"BELMONT CRAGIN",1209,87,60,64,43,27
"BEVERLY",126,89,71,84,61,45
"BRIDGEPORT",281,91,77,82,66,53
"BRIGHTON PARK",659,79,57,63,53,31
"BURNSIDE",38,79,48,35,52,22
"CPS",27486,83,58,63,46,27
"CALUMET HEIGHTS",105,85,59,60,49,27
"CHATHAM",318,78,51,58,39,20
"CHICAGO LAWN",894,80,56,60,45,25
"CLEARING",281,86,70,67,50,34
"DOUGLAS",115,84,49,54,33,20
"DUNNING",451,89,70,77,68,46
"EAST GARFIELD PARK",240,77,45,58,28,13
"EAST SIDE",348,81,56,60,51,27
"EDGEWATER",225,86,67,70,60,38
"EDISON PARK",76,90,74,89,69,43
"ENGLEWOOD",305,76,41,41,27,12
"FOREST GLEN",143,91,77,88,71,52
"FULLER PARK",35,79,60,33,21,14
"GAGE PARK",686,80,54,58,51,29
"GARFIELD RIDGE",362,82,66,71,53,33
"GRAND BOULEVARD",243,88,50,61,38,20
"GREATER GRAND CROSSING",402,80,44,44,39,19
"HEGEWISCH",121,84,54,65,45,25
"HERMOSA",382,86,55,67,46,25
"HUMBOLDT PARK",764,80,51,53,31,19
"HYDE PARK",138,91,53,70,47,37
"IRVING PARK",488,88,64,71,55,36
"JEFFERSON PARK",216,88,70,80,65,46
"KENWOOD",175,91,51,71,38,22
"LAKE VIEW",290,92,72,80,66,52
"LINCOLN PARK",218,88,79,84,66,52
"LINCOLN SQUARE",289,88,71,75,63,46
"LOGAN SQUARE",517,87,61,63,46,30
"LOOP",51,94,83,85,78,65
"LOWER WEST SIDE",368,84,57,64,40,24
"MCKINLEY PARK",151,84,67,61,62,41
"MONTCLARE",179,83,62,69,56,33
"MORGAN PARK",217,84,54,63,40,24
"MOUNT GREENWOOD",56,85,55,78,54,33
"NEAR NORTH SIDE",182,90,66,67,54,38
"NEAR SOUTH SIDE",111,86,75,76,56,40
"NEAR WEST SIDE",308,81,54,58,45,24
"NEW CITY",671,76,52,53,41,22
"NORTH CENTER",271,92,76,79,67,49
"NORTH LAWNDALE",490,72,48,50,30,14
"NORTH PARK",141,92,69,81,66,42
"NORWOOD PARK",286,89,74,80,63,44
"OAKLAND",86,85,57,59,56,30
"OHARE",80,84,72,72,61,41
"PORTAGE PARK",689,85,67,72,56,36
"PULLMAN",81,85,61,61,31,21
"RIVERDALE",NA,72,NA,43,21,6
"ROGERS PARK",388,85,57,65,40,27
"ROSELAND",471,84,45,55,29,15
"SOUTH CHICAGO",335,74,49,59,39,18
"SOUTH DEERING",189,85,51,60,41,23
"SOUTH LAWNDALE",1022,83,55,60,47,25
"SOUTH SHORE",544,79,46,53,36,17
"UPTOWN",254,86,65,74,52,35
"WASHINGTON HEIGHTS",283,83,58,59,36,19
"WASHINGTON PARK",151,84,43,47,30,13
"WEST ELSDON",282,80,60,63,51,30
"WEST ENGLEWOOD",401,73,40,54,23,10
"WEST GARFIELD PARK",208,75,46,37,22,11
"WEST LAWN",542,85,62,64,50,32
"WEST PULLMAN",367,83,50,51,37,21
"WEST RIDGE",804,86,65,70,60,40
"WEST TOWN",424,87,68,61,46,32
"WOODLAWN",253,81,49,51,34,21
